Index,Zeta
0,0.249989
1,0.255298
2,0.260113
3,0.264434
4,0.268262
5,0.271595
6,0.274435
7,0.276781
8,0.278633
9,0.279991
10,0.280856
11,0.281226
12,0.281103
13,0.280486
14,0.279375
15,0.277771
16,0.275672
17,0.27308
18,0.269994
19,0.266414
20,0.26234
21,0.257772
22,0.252711
23,0.247155
24,0.241106
25,0.234563
26,0.227527
27,0.219996
28,0.211972
29,0.203453
30,0.194441
31,0.184935
32,0.174936
33,0.164442
34,0.153455
35,0.141973
36,0.129998
37,0.11753
38,0.104567
39,0.0911103
40,0.0771599
41,0.0627158
42,0.0477777
43,0.0323459
44,0.0164202
45,7.49955e-07
